_raw,_time,c_ip,change_type,cs_method,cs_mime_type,cs_url,cs_username,date_hour,date_mday,date_minute,date_month,date_second,date_wday,date_year,date_zone,end_time,eventtype,host,index,linecount,punct,s_hierarchy,s_hostname,sc_bytes,sc_http_status,sc_result_code,severity,source,sourcetype,splunk_server,src_ip,tag,tag::eventtype,tag::host,timeendpos,timestartpos,usage,x_acltag,x_mcafee_virus_name,x_wbrs_score,x_webcat_code_abbr,x_webcat_code_full,x_webroot_threat_name
"1373669653.477 1203 175.44.3.30 TCP_MISS/200 158276 GET http://www.cannabisculture.com/articles/4639.html fbryan@buttercupgames.com DIRECT/www.cannabisculture.com - ALLOW_WBRS-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting <IW_drug,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_drug,-> - -",2013-07-12T15:54:13.477-0700,175.44.3.30,,GET,-,http://www.cannabisculture.com/articles/4639.html,fbryan@buttercupgames.com,22,12,54,july,13,friday,2013,0,1373669653,ironport_proxy,network_syslog1,main,1,".__..._/___://..//._@._/.._-_-----_<,.,-,-,-,-,-,-",DIRECT,www.cannabisculture.com,158276,200,TCP_MISS,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,175.44.3.30,,,,14,0,Violation,ALLOW_WBRS-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting,-,6.5,IW_drug,Illegal Drugs,-
"1373668912.273 475 67.170.226.218 TCP_MISS/301 1041 GET http://www.emeryseeds.com/ adombrowski@buttercupgames.com DIRECT/www.emeryseeds.com text/html DEFAULT_CASE-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting <IW_drug,ns,0,-,-,-,-,0,-,-,-,-,-,-,-,IW_drug,-> - -",2013-07-12T15:41:52.273-0700,67.170.226.218,,GET,text/html,http://www.emeryseeds.com/,adombrowski@buttercupgames.com,22,12,41,july,52,friday,2013,0,1373668912,ironport_proxy,network_syslog1,main,1,".__..._/___://../_@._/.._/_-----_<,,,-,-,-,-,,-,-,",DIRECT,www.emeryseeds.com,1041,301,TCP_MISS,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,67.170.226.218,,,,14,0,Violation,DEFAULT_CASE-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting,-,ns,IW_drug,Illegal Drugs,-
"1373616547.710 584 87.194.216.51 TCP_DENIED/403 2720 GET http://freegirlslickinggirls.juiceaunt.cn/busty-mom/cum-on-panies.htm lsagers@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-9.1,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-12T01:09:07.710-0700,87.194.216.51,,GET,-,http://freegirlslickinggirls.juiceaunt.cn/busty-mom/cum-on-panies.htm,lsagers@buttercupgames.com,8,12,9,july,7,friday,2013,0,1373616548,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://../-/--._@._/-_-_-----_<,-.,-,-,-,-,",NONE,-,2720,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,87.194.216.51,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-9.1,IW_adlt,Adult,-
"1373590459.246 445 125.17.14.100 TCP_DENIED/403 2559 GET http://e-tst.com/if/preif.php acurry@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-11T17:54:19.246-0700,125.17.14.100,,GET,-,http://e-tst.com/if/preif.php,acurry@buttercupgames.com,0,12,54,july,19,friday,2013,0,1373590459,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://-.//._@._/-_-_-----_<,-.,-,-,-,-,-,-",NONE,-,2559,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,125.17.14.100,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-5.9,IW_porn,Porn,-
"1373252872.95 3862 201.3.120.132 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif adombrowski@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-07T20:07:52.950-0700,201.3.120.132,,GET,-,http://teenchickas.com/0.gif,adombrowski@buttercupgames.com,3,8,7,july,52,monday,2013,0,1373252873,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,201.3.120.132,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1373155585.693 16 74.82.57.172 TCP_DENIED/403 2552 GET http://bdsm-movies.info/33/ lsagers@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-06T17:06:25.693-0700,74.82.57.172,,GET,-,http://bdsm-movies.info/33/,lsagers@buttercupgames.com,0,7,6,july,25,sunday,2013,0,1373155586,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://-.//_@._/-_-_-----_<,-,-,-,-,-,-,-,-",NONE,-,2552,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,74.82.57.172,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1373078793.067 296 201.28.109.162 TCP_DENIED/403 2555 GET http://excellent-beauty.net/ myuan@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,ns,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-05T19:46:33.067-0700,201.28.109.162,,GET,-,http://excellent-beauty.net/,myuan@buttercupgames.com,2,6,46,july,33,saturday,2013,0,1373078793,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://-./_@._/-_-_-----_<,,-,-,-,-,-,-,-,-",NONE,-,2555,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,201.28.109.162,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,ns,IW_porn,Porn,-
"1372855129.886 9 27.96.191.11 TCP_DENIED/403 2567 GET http://www.decisionanalyst.org/ emaxwell@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-03T05:38:49.886-0700,27.96.191.11,,GET,-,http://www.decisionanalyst.org/,emaxwell@buttercupgames.com,12,3,38,july,49,wednesday,2013,0,1372855130,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://../_@._/-_-_-----_<,.,-,-,-,-,-,-,-,",NONE,-,2567,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,27.96.191.11,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,6.5,IW_porn,Porn,-
"1372812773.053 177 195.80.144.22 TCP_DENIED/403 2915 GET http://pussyslot.com/cgi-bin/tt2/enter01.cgi?greegallerys.go/in.tpl/Shaved/??????_??????/01/12/0000000413.jpg/sex.html npearce@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,ns,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-02T17:52:53.053-0700,195.80.144.22,,GET,-,http://pussyslot.com/cgi-bin/tt2/enter01.cgi?greegallerys.go/in.tpl/Shaved/??????_??????/01/12/0000000413.jpg/sex.html,npearce@buttercupgames.com,0,3,52,july,53,wednesday,2013,0,1372812773,block_view ironport_proxy,network_syslog1,main,1,.__..._/___://./-//.?././/????????????///./._@._/-,NONE,-,2915,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,195.80.144.22,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,ns,IW_porn,Porn,-
"1372735256.333 253 91.214.92.22 TCP_DENIED/403 2523 GET http://ampbabes.com/ emaxwell@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,ns,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-01T20:20:56.333-0700,91.214.92.22,,GET,-,http://ampbabes.com/,emaxwell@buttercupgames.com,3,2,20,july,56,tuesday,2013,0,1372735256,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./_@._/-_-_-----_<,,-,-,-,-,-,-,-,-,",NONE,-,2523,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,91.214.92.22,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,ns,IW_porn,Porn,-
"1372641334.738 7842 92.46.53.223 TCP_DENIED/403 2664 GET http://nudistpre.swearaltogether.nx.cn/hairymatire.php3 apucci@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-06-30T18:15:34.738-0700,92.46.53.223,,GET,-,http://nudistpre.swearaltogether.nx.cn/hairymatire.php3,apucci@buttercupgames.com,1,1,15,july,34,monday,2013,0,1372641335,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://.../._@._/-_-_-----_<,-,-,-,-,-,-,-,",NONE,-,2664,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,92.46.53.223,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1372538470.95 3862 125.89.78.6 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif pbunch@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-06-29T13:41:10.950-0700,125.89.78.6,,GET,-,http://teenchickas.com/0.gif,pbunch@buttercupgames.com,20,29,41,june,10,saturday,2013,0,1372538471,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,125.89.78.6,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1372467968.054 201 87.240.128.18 TCP_DENIED/403 2587 GET http://new.hqfreefilms.com/movie.php fbryan@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,ns,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-06-28T18:06:08.054-0700,87.240.128.18,,GET,-,http://new.hqfreefilms.com/movie.php,fbryan@buttercupgames.com,1,29,6,june,8,saturday,2013,0,1372467968,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://../._@._/-_-_-----_<,,-,-,-,-,-,-,-,",NONE,-,2587,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,87.240.128.18,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,ns,IW_porn,Porn,-
"1372465850.877 436 27.102.11.11 TCP_DENIED/403 2579 GET http://www.crazyfunnypictures.com/ apucci@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-06-28T17:30:50.877-0700,27.102.11.11,,GET,-,http://www.crazyfunnypictures.com/,apucci@buttercupgames.com,0,29,30,june,50,saturday,2013,0,1372465851,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://../_@._/-_-_-----_<,-.,-,-,-,-,-,-,-",NONE,-,2579,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,27.102.11.11,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-6.2,IW_porn,Porn,-
"1372177595.95 3862 222.41.213.238 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif acurry@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-06-25T09:26:35.950-0700,222.41.213.238,,GET,-,http://teenchickas.com/0.gif,acurry@buttercupgames.com,16,25,26,june,35,tuesday,2013,0,1372177596,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,222.41.213.238,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1372126763.95 3862 89.11.192.18 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif rjayaraman@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-06-24T19:19:23.950-0700,89.11.192.18,,GET,-,http://teenchickas.com/0.gif,rjayaraman@buttercupgames.com,2,25,19,june,23,tuesday,2013,0,1372126764,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,89.11.192.18,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1372103262.95 3862 208.240.243.170 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif rjayaraman@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-06-24T12:47:42.950-0700,208.240.243.170,,GET,-,http://teenchickas.com/0.gif,rjayaraman@buttercupgames.com,19,24,47,june,42,monday,2013,0,1372103263,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,208.240.243.170,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
